Reaction_No,Reactant_1,Reactant_2,Ligand,Base,Solvent,Yield
2703,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B7, NaHCO3","S3, MeCN",0.112241
2704,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B7, NaHCO3","S3, MeCN",0.127953
2705,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B7, NaHCO3","S3, MeCN",0.066064
2706,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B7, NaHCO3","S3, MeCN",0.129335
2707,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B7, NaHCO3","S3, MeCN",0.769244
2708,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B7, NaHCO3","S3, MeCN",0.144445
2709,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B7, NaHCO3","S3, MeCN",0.766093
2710,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B7, NaHCO3","S3, MeCN",0.22132
2711,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B7, NaHCO3","S3, MeCN",0.058171
2712,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B7, NaHCO3","S3, MeCN",0.150811
2713,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B4, CsF","S3, MeCN",0.09985
2714,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B4, CsF","S3, MeCN",0.13886
2715,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B4, CsF","S3, MeCN",0.076636
2716,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B4, CsF","S3, MeCN",0.139159
2717,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B4, CsF","S3, MeCN",0.077952
2718,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B4, CsF","S3, MeCN",0.151621
2719,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B4, CsF","S3, MeCN",0.720883
2720,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B4, CsF","S3, MeCN",0.166413
2721,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B4, CsF","S3, MeCN",0.777776
2722,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B4, CsF","S3, MeCN",0.229216
2723,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B4, CsF","S3, MeCN",0.009441
2724,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B4, CsF","S3, MeCN",0.14565
2725,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B5, K3PO4","S3, MeCN",0.087309
2726,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B5, K3PO4","S3, MeCN",0.140168
2727,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B5, K3PO4","S3, MeCN",0.096793
2728,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B5, K3PO4","S3, MeCN",0.125453
2729,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B5, K3PO4","S3, MeCN",0.057869
2730,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B5, K3PO4","S3, MeCN",0.15467
2731,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B5, K3PO4","S3, MeCN",0.694164
2732,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B5, K3PO4","S3, MeCN",0.154928
2733,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B5, K3PO4","S3, MeCN",0.680519
2734,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B5, K3PO4","S3, MeCN",0.211959
2735,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B5, K3PO4","S3, MeCN",0.00958
2736,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B5, K3PO4","S3, MeCN",0.165873
2737,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B6, KOH","S3, MeCN",0.104766
2738,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B6, KOH","S3, MeCN",0.138879
2739,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B6, KOH","S3, MeCN",0.080916
2740,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B6, KOH","S3, MeCN",0.121052
2741,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B6, KOH","S3, MeCN",0.066015
2742,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B6, KOH","S3, MeCN",0.12642
2743,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B6, KOH","S3, MeCN",0.745398
2744,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B6, KOH","S3, MeCN",0.159518
2745,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B6, KOH","S3, MeCN",0.811725
2746,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B6, KOH","S3, MeCN",0.207888
2747,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B6, KOH","S3, MeCN",0.005227
2748,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B6, KOH","S3, MeCN",0.14422
2749,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B3, LiOtBu","S3, MeCN",0.123908
2750,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B3, LiOtBu","S3, MeCN",0.146313
2751,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B3, LiOtBu","S3, MeCN",0.086997
2752,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B3, LiOtBu","S3, MeCN",0.120026
2753,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B3, LiOtBu","S3, MeCN",0.070758
2754,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B3, LiOtBu","S3, MeCN",0.145073
2755,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B3, LiOtBu","S3, MeCN",0.754952
2756,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B3, LiOtBu","S3, MeCN",0.148936
2757,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B3, LiOtBu","S3, MeCN",0.765581
2758,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B3, LiOtBu","S3, MeCN",0.212735
2759,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B3, LiOtBu","S3, MeCN",0.057118
2760,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B3, LiOtBu","S3, MeCN",0.114981
2761,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B2, Et3N","S3, MeCN",0.092756
2762,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B2, Et3N","S3, MeCN",0.146143
2763,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B2, Et3N","S3, MeCN",0.101281
2764,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B2, Et3N","S3, MeCN",0.116013
2765,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B2, Et3N","S3, MeCN",0.059293
2766,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B2, Et3N","S3, MeCN",0.144378
2767,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B2, Et3N","S3, MeCN",0.721181
2768,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B2, Et3N","S3, MeCN",0.143133
2769,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B2, Et3N","S3, MeCN",0.677325
2770,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B2, Et3N","S3, MeCN",0.23706
2771,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B2, Et3N","S3, MeCN",0.055432
2772,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B2, Et3N","S3, MeCN",0.151964
2773,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B1, None","S3, MeCN",0.121587
2774,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B1, None","S3, MeCN",0.143
2775,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B1, None","S3, MeCN",0.088758
2776,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B1, None","S3, MeCN",0.124415
2777,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B1, None","S3, MeCN",0.074143
2778,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B1, None","S3, MeCN",0.180563
2779,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B1, None","S3, MeCN",0.646627
2780,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B1, None","S3, MeCN",0.144812
2781,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B1, None","S3, MeCN",0.663693
2782,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B1, None","S3, MeCN",0.227624
2783,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B1, None","S3, MeCN",0.004429
2784,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B1, None","S3, MeCN",0.145233
2785,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B8, NaOH","S2, THF",0.220949
2786,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B8, NaOH","S2, THF",0.167943
2787,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B8, NaOH","S2, THF",0.169436
2788,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B8, NaOH","S2, THF",0.318588
2789,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B8, NaOH","S2, THF",0.109211
2790,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B8, NaOH","S2, THF",0.499089
2791,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B8, NaOH","S2, THF",0.784125
2792,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B8, NaOH","S2, THF",0.191356
2793,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B8, NaOH","S2, THF",0.921587
2794,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B8, NaOH","S2, THF",0.281106
2795,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B8, NaOH","S2, THF",0.046868
2796,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B8, NaOH","S2, THF",0.170428
2797,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B7, NaHCO3","S2, THF",0.511319
2798,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B7, NaHCO3","S2, THF",0.156289
2799,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B7, NaHCO3","S2, THF",0.308868
2800,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B7, NaHCO3","S2, THF",0.487538
2801,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B7, NaHCO3","S2, THF",0.078187
2802,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B7, NaHCO3","S2, THF",0.677962
2803,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B7, NaHCO3","S2, THF",0.506622
2804,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B7, NaHCO3","S2, THF",0.181643
2805,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B7, NaHCO3","S2, THF",0.564988
2806,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B7, NaHCO3","S2, THF",0.261045
2807,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B7, NaHCO3","S2, THF",0.038781
2808,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B7, NaHCO3","S2, THF",0.147624
2809,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B4, CsF","S2, THF",0.211855
2810,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B4, CsF","S2, THF",0.155459
2811,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B4, CsF","S2, THF",0.258106
2812,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B4, CsF","S2, THF",0.437752
2813,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B4, CsF","S2, THF",0.055635
2814,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B4, CsF","S2, THF",0.483271
2815,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B4, CsF","S2, THF",0.465879
2816,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B4, CsF","S2, THF",0.19301
2817,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B4, CsF","S2, THF",0.575548
2818,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B4, CsF","S2, THF",0.262076
2819,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B4, CsF","S2, THF",0.032834
2820,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B4, CsF","S2, THF",0.168417
2821,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B5, K3PO4","S2, THF",0.305995
2822,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B5, K3PO4","S2, THF",0.164097
2823,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B5, K3PO4","S2, THF",0.238159
2824,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B5, K3PO4","S2, THF",0.371569
2825,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B5, K3PO4","S2, THF",0.064476
2826,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B5, K3PO4","S2, THF",0.466536
2827,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B5, K3PO4","S2, THF",0.537177
2828,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B5, K3PO4","S2, THF",0.183132
2829,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B5, K3PO4","S2, THF",0.683133
2830,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B5, K3PO4","S2, THF",0.255111
2831,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B5, K3PO4","S2, THF",0.035406
2832,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B5, K3PO4","S2, THF",0.151606
2833,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B6, KOH","S2, THF",0.446339
2834,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B6, KOH","S2, THF",0.177825
2835,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B6, KOH","S2, THF",0.252179
2836,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B6, KOH","S2, THF",0.462136
2837,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B6, KOH","S2, THF",0.076224
2838,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B6, KOH","S2, THF",0.336117
2839,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B6, KOH","S2, THF",0.706706
2840,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B6, KOH","S2, THF",0.221836
2841,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B6, KOH","S2, THF",0.799376
2842,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B6, KOH","S2, THF",0.28721
2843,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B6, KOH","S2, THF",0.045621
2844,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B6, KOH","S2, THF",0.207478
2845,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B3, LiOtBu","S2, THF",0.52951
2846,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B3, LiOtBu","S2, THF",0.182892
2847,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B3, LiOtBu","S2, THF",0.151192
2848,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B3, LiOtBu","S2, THF",0.185113
2849,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B3, LiOtBu","S2, THF",0.090667
2850,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B3, LiOtBu","S2, THF",0.30618
2851,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B3, LiOtBu","S2, THF",0.771262
2852,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B3, LiOtBu","S2, THF",0.182232
2853,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B3, LiOtBu","S2, THF",0.92529
2854,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B3, LiOtBu","S2, THF",0.318492
2855,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B3, LiOtBu","S2, THF",0.035072
2856,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B3, LiOtBu","S2, THF",0.233342
2857,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B2, Et3N","S2, THF",0.585731
2858,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B2, Et3N","S2, THF",0.181101
2859,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B2, Et3N","S2, THF",0.114718
2860,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B2, Et3N","S2, THF",0.157452
2861,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B2, Et3N","S2, THF",0.072973
2862,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B2, Et3N","S2, THF",0.336974
2863,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B2, Et3N","S2, THF",0.762244
2864,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B2, Et3N","S2, THF",0.179262
2865,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B2, Et3N","S2, THF",0.917637
2866,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B2, Et3N","S2, THF",0.249842
2867,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B2, Et3N","S2, THF",0.051434
2868,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B2, Et3N","S2, THF",0.184463
2869,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B1, None","S2, THF",0.511005
2870,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B1, None","S2, THF",0.174878
2871,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B1, None","S2, THF",0.310518
2872,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B1, None","S2, THF",0.512343
2873,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B1, None","S2, THF",0.068429
2874,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B1, None","S2, THF",0.770574
2875,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B1, None","S2, THF",0.69298
2876,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B1, None","S2, THF",0.193178
2877,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B1, None","S2, THF",0.848295
2878,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B1, None","S2, THF",0.2425
2879,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B1, None","S2, THF",0.073543
2880,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B1, None","S2, THF",0.212057
2881,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B8, NaOH","S4, DMF",0.253391
2882,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B8, NaOH","S4, DMF",0.133206
2883,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B8, NaOH","S4, DMF",0.119301
2884,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B8, NaOH","S4, DMF",0.139179
2885,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B8, NaOH","S4, DMF",0.076771
2886,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B8, NaOH","S4, DMF",0.122949
2887,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B8, NaOH","S4, DMF",0.723828
2888,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B8, NaOH","S4, DMF",0.184498
2889,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B8, NaOH","S4, DMF",0.86531
2890,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B8, NaOH","S4, DMF",0.169961
2891,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B8, NaOH","S4, DMF",0.052614
2892,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B8, NaOH","S4, DMF",0.171882
2893,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B7, NaHCO3","S4, DMF",0.111346
2894,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B7, NaHCO3","S4, DMF",0.17025
2895,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B7, NaHCO3","S4, DMF",0.085284
2896,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B7, NaHCO3","S4, DMF",0.324954
2897,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B7, NaHCO3","S4, DMF",0.062517
2898,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B7, NaHCO3","S4, DMF",0.217912
2899,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B7, NaHCO3","S4, DMF",0.464988
2900,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B7, NaHCO3","S4, DMF",0.154481
2901,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B7, NaHCO3","S4, DMF",0.529348
2902,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B7, NaHCO3","S4, DMF",0.244595
2903,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B7, NaHCO3","S4, DMF",0.005839
2904,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B7, NaHCO3","S4, DMF",0.13339
2905,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B4, CsF","S4, DMF",0.042976
2906,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B4, CsF","S4, DMF",0.163174
2907,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B4, CsF","S4, DMF",0.092518
2908,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B4, CsF","S4, DMF",0.311838
2909,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B4, CsF","S4, DMF",0.059645
2910,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B4, CsF","S4, DMF",0.210209
2911,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B4, CsF","S4, DMF",0.568579
2912,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B4, CsF","S4, DMF",0.166269
2913,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B4, CsF","S4, DMF",0.4798
2914,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B4, CsF","S4, DMF",0.240776
2915,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B4, CsF","S4, DMF",0.005603
2916,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B4, CsF","S4, DMF",0.127574
2917,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B5, K3PO4","S4, DMF",0.127789
2918,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B5, K3PO4","S4, DMF",0.152933
2919,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B5, K3PO4","S4, DMF",0.093175
2920,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B5, K3PO4","S4, DMF",0.262539
2921,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B5, K3PO4","S4, DMF",0.072425
2922,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B5, K3PO4","S4, DMF",0.205848
2923,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B5, K3PO4","S4, DMF",0.404292
2924,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B5, K3PO4","S4, DMF",0.157844
2925,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B5, K3PO4","S4, DMF",0.404566
2926,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B5, K3PO4","S4, DMF",0.247113
2927,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B5, K3PO4","S4, DMF",0.005951
2928,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B5, K3PO4","S4, DMF",0
2929,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B6, KOH","S4, DMF",0
2930,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B6, KOH","S4, DMF",0.161887
2931,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B6, KOH","S4, DMF",0.107672
2932,"1a, 6-Cl-Q","2b, Boronic Ester","L4, P(Cy)3","B6, KOH","S4, DMF",0.140852
2933,"1a, 6-Cl-Q","2b, Boronic Ester","L5, P(o-Tol)3","B6, KOH","S4, DMF",0.075836
2934,"1a, 6-Cl-Q","2b, Boronic Ester","L6, CataCXium A","B6, KOH","S4, DMF",0.184708
2935,"1a, 6-Cl-Q","2b, Boronic Ester","L7, SPhos","B6, KOH","S4, DMF",0.13532
2936,"1a, 6-Cl-Q","2b, Boronic Ester","L8, dtbpf","B6, KOH","S4, DMF",0.18045
2937,"1a, 6-Cl-Q","2b, Boronic Ester","L9, XPhos","B6, KOH","S4, DMF",0.104526
2938,"1a, 6-Cl-Q","2b, Boronic Ester","L10, dppf","B6, KOH","S4, DMF",0.218549
2939,"1a, 6-Cl-Q","2b, Boronic Ester","L11, Xantphos","B6, KOH","S4, DMF",0.073741
2940,"1a, 6-Cl-Q","2b, Boronic Ester","L12, None","B6, KOH","S4, DMF",0.16584
2941,"1a, 6-Cl-Q","2b, Boronic Ester","L1.0, P(tBu)3","B3, LiOtBu","S4, DMF",0.095379
2942,"1a, 6-Cl-Q","2b, Boronic Ester","L2, P(Ph)3 ","B3, LiOtBu","S4, DMF",0.149597
2943,"1a, 6-Cl-Q","2b, Boronic Ester","L3, P(Ph)3 ","B3, LiOtBu","S4, DMF",0.109787
